2024-05-21 11:12:12,546 INFO    StreamThr :353520 [internal.py:wandb_internal():86] W&B internal server running at pid: 353520, started at: 2024-05-21 11:12:12.545661
2024-05-21 11:12:12,547 DEBUG   HandlerThread:353520 [handler.py:handle_request():146] handle_request: status
2024-05-21 11:12:12,589 INFO    WriterThread:353520 [datastore.py:open_for_write():87] open: /scratch/ksada/SparseGO4patients/cluster/wandb/run-20240521_111212-pifdxmhl/run-pifdxmhl.wandb
2024-05-21 11:12:12,590 DEBUG   SenderThread:353520 [sender.py:send():382] send: header
2024-05-21 11:12:12,602 DEBUG   SenderThread:353520 [sender.py:send():382] send: run
2024-05-21 11:12:13,118 INFO    SenderThread:353520 [dir_watcher.py:__init__():211] watching files in: /scratch/ksada/SparseGO4patients/cluster/wandb/run-20240521_111212-pifdxmhl/files
2024-05-21 11:12:13,118 INFO    SenderThread:353520 [sender.py:_start_run_threads():1136] run started: pifdxmhl with start time 1716282732.572306
2024-05-21 11:12:13,133 DEBUG   HandlerThread:353520 [handler.py:handle_request():146] handle_request: check_version
2024-05-21 11:12:13,133 DEBUG   SenderThread:353520 [sender.py:send_request():409] send_request: check_version
2024-05-21 11:12:13,298 DEBUG   HandlerThread:353520 [handler.py:handle_request():146] handle_request: run_start
2024-05-21 11:12:13,303 DEBUG   HandlerThread:353520 [system_info.py:__init__():27] System info init
2024-05-21 11:12:13,304 DEBUG   HandlerThread:353520 [system_info.py:__init__():42] System info init done
2024-05-21 11:12:13,304 INFO    HandlerThread:353520 [system_monitor.py:start():194] Starting system monitor
2024-05-21 11:12:13,304 INFO    SystemMonitor:353520 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-21 11:12:13,304 INFO    HandlerThread:353520 [system_monitor.py:probe():214] Collecting system info
2024-05-21 11:12:13,304 INFO    SystemMonitor:353520 [interfaces.py:start():190] Started cpu monitoring
2024-05-21 11:12:13,305 INFO    SystemMonitor:353520 [interfaces.py:start():190] Started disk monitoring
2024-05-21 11:12:13,307 INFO    SystemMonitor:353520 [interfaces.py:start():190] Started gpu monitoring
2024-05-21 11:12:13,308 INFO    SystemMonitor:353520 [interfaces.py:start():190] Started memory monitoring
2024-05-21 11:12:13,308 INFO    SystemMonitor:353520 [interfaces.py:start():190] Started network monitoring
2024-05-21 11:12:13,326 DEBUG   HandlerThread:353520 [system_info.py:probe():151] Probing system
2024-05-21 11:12:13,330 DEBUG   HandlerThread:353520 [system_info.py:_probe_git():136] Probing git
2024-05-21 11:12:13,345 DEBUG   HandlerThread:353520 [system_info.py:_probe_git():144] Probing git done
2024-05-21 11:12:13,345 DEBUG   HandlerThread:353520 [system_info.py:probe():199] Probing system done
